NAME                                                              AGE
custom-alerts                                                     49m
monitoring-kube-prometheus-alertmanager.rules                     3h38m
monitoring-kube-prometheus-config-reloaders                       3h38m
monitoring-kube-prometheus-etcd                                   3h38m
monitoring-kube-prometheus-general.rules                          3h38m
monitoring-kube-prometheus-k8s.rules.container-cpu-usage-second   3h38m
monitoring-kube-prometheus-k8s.rules.container-memory-cache       3h38m
monitoring-kube-prometheus-k8s.rules.container-memory-rss         3h38m
monitoring-kube-prometheus-k8s.rules.container-memory-swap        3h38m
monitoring-kube-prometheus-k8s.rules.container-memory-working-s   3h38m
monitoring-kube-prometheus-k8s.rules.container-resource           3h38m
monitoring-kube-prometheus-k8s.rules.pod-owner                    3h38m
monitoring-kube-prometheus-kube-apiserver-availability.rules      3h38m
monitoring-kube-prometheus-kube-apiserver-burnrate.rules          3h38m
monitoring-kube-prometheus-kube-apiserver-histogram.rules         3h38m
monitoring-kube-prometheus-kube-apiserver-slos                    3h38m
monitoring-kube-prometheus-kube-prometheus-general.rules          3h38m
monitoring-kube-prometheus-kube-prometheus-node-recording.rules   3h38m
monitoring-kube-prometheus-kube-scheduler.rules                   3h38m
monitoring-kube-prometheus-kube-state-metrics                     3h38m
monitoring-kube-prometheus-kubelet.rules                          3h38m
monitoring-kube-prometheus-kubernetes-apps                        3h38m
monitoring-kube-prometheus-kubernetes-resources                   3h38m
monitoring-kube-prometheus-kubernetes-storage                     3h38m
monitoring-kube-prometheus-kubernetes-system                      3h38m
monitoring-kube-prometheus-kubernetes-system-apiserver            3h38m
monitoring-kube-prometheus-kubernetes-system-controller-manager   3h38m
monitoring-kube-prometheus-kubernetes-system-kube-proxy           3h38m
monitoring-kube-prometheus-kubernetes-system-kubelet              3h38m
monitoring-kube-prometheus-kubernetes-system-scheduler            3h38m
monitoring-kube-prometheus-node-exporter                          3h38m
monitoring-kube-prometheus-node-exporter.rules                    3h38m
monitoring-kube-prometheus-node-network                           3h38m
monitoring-kube-prometheus-node.rules                             3h38m
monitoring-kube-prometheus-prometheus                             3h38m
monitoring-kube-prometheus-prometheus-operator                    3h38m
