NAME                          READY   STATUS    RESTARTS   AGE     IP            NODE              NOMINATED NODE   READINESS GATES
cpu-stress-5fc5f9c5d4-7f7n6   1/1     Running   0          7m25s   10.244.4.34   prod-ha-worker2   <none>           <none>
cpu-stress-5fc5f9c5d4-htm24   1/1     Running   0          7m25s   10.244.3.32   prod-ha-worker    <none>           <none>
cpu-stress-5fc5f9c5d4-xllgz   1/1     Running   0          7m25s   10.244.4.33   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-2f86z     1/1     Running   0          3h25m   10.244.4.15   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-56525     1/1     Running   0          3h25m   10.244.4.21   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-6mh2r     1/1     Running   0          3h30m   10.244.4.12   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-7blz2     1/1     Running   0          3h30m   10.244.4.9    prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-7qh29     1/1     Running   0          3h25m   10.244.3.21   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-8c7xb     1/1     Running   0          3h30m   10.244.3.15   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-8hkpm     1/1     Running   0          3h25m   10.244.3.22   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-8qc4g     1/1     Running   0          3h25m   10.244.3.20   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-9mgk9     1/1     Running   0          3h25m   10.244.3.17   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-b94v5     1/1     Running   0          3h25m   10.244.4.18   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-bdjfw     1/1     Running   0          3h25m   10.244.3.16   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-c2z9n     1/1     Running   0          3h30m   10.244.3.8    prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-dl88p     1/1     Running   0          3h25m   10.244.3.28   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-dz9ms     1/1     Running   0          3h30m   10.244.3.7    prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-f2f64     1/1     Running   0          3h30m   10.244.3.12   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-f85pz     1/1     Running   0          3h30m   10.244.4.7    prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-fz8ss     1/1     Running   0          3h30m   10.244.4.14   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-g5h7r     1/1     Running   0          3h25m   10.244.4.24   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-hkgkc     1/1     Running   0          3h25m   10.244.3.30   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-hq2x5     1/1     Running   0          3h25m   10.244.4.19   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-k6qmq     1/1     Running   0          3h30m   10.244.3.11   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-k9mmq     1/1     Running   0          3h25m   10.244.4.22   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-kbsgn     1/1     Running   0          3h25m   10.244.3.23   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-ks7sw     1/1     Running   0          3h30m   10.244.4.11   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-kvzvq     1/1     Running   0          3h25m   10.244.4.29   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-lsqqp     1/1     Running   0          3h30m   10.244.3.14   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-mf8qq     1/1     Running   0          3h25m   10.244.4.27   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-mfpq5     1/1     Running   0          3h25m   10.244.3.26   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-n42n8     1/1     Running   0          3h25m   10.244.4.23   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-n6l6z     1/1     Running   0          3h25m   10.244.4.26   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-nkblr     1/1     Running   0          3h25m   10.244.4.20   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-pmv4m     1/1     Running   0          3h30m   10.244.4.13   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-px9rb     1/1     Running   0          3h30m   10.244.4.10   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-r5zgr     1/1     Running   0          3h30m   10.244.3.6    prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-rn4v4     1/1     Running   0          3h25m   10.244.3.24   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-rstx6     1/1     Running   0          3h25m   10.244.4.28   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-s6wbp     1/1     Running   0          3h30m   10.244.3.13   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-sfbtp     1/1     Running   0          3h25m   10.244.3.18   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-skqjq     1/1     Running   0          3h30m   10.244.4.6    prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-srp54     1/1     Running   0          3h25m   10.244.4.25   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-t4mkr     1/1     Running   0          3h30m   10.244.4.8    prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-tgtgs     1/1     Running   0          3h25m   10.244.4.17   prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-tlgqb     1/1     Running   0          3h30m   10.244.3.9    prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-tpcsl     1/1     Running   0          3h25m   10.244.3.29   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-vg6pj     1/1     Running   0          3h30m   10.244.3.10   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-wbg5b     1/1     Running   0          3h25m   10.244.3.19   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-wbn6c     1/1     Running   0          3h25m   10.244.3.27   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-wr2mn     1/1     Running   0          3h25m   10.244.3.25   prod-ha-worker    <none>           <none>
nginx-ha-7d744949b7-xdr5g     1/1     Running   0          3h30m   10.244.4.5    prod-ha-worker2   <none>           <none>
nginx-ha-7d744949b7-zmf2j     1/1     Running   0          3h25m   10.244.4.16   prod-ha-worker2   <none>           <none>
